pertanyaan;label;konteks
Bagaimana cara menentukan kalimat efektif?;valid_learning;belajar
Apa itu majas metafora dan berikan contohnya?;valid_learning;belajar
Jelaskan teori atom Bohr!;valid_learning;belajar
Apa yang dimaksud dengan hukum Archimedes?;valid_learning;belajar
Bagaimana cara kerja sistem saraf manusia?;valid_learning;belajar
Apa itu sistem tata surya?;valid_learning;belajar
Jelaskan proses pembelahan sel mitosis!;valid_learning;belajar
Apa perbedaan antara asam dan basa?;valid_learning;belajar
Jelaskan pengertian demokrasi Pancasila!;valid_learning;belajar
Apa yang dimaksud dengan pemanasan global?;valid_learning;belajar
Bagaimana proses terbentuknya batuan beku?;valid_learning;belajar
Apa itu respirasi aerob dan anaerob?;valid_learning;belajar
Jelaskan fungsi dari klorofil pada tumbuhan!;valid_learning;belajar
Apa itu sistem periodik unsur?;valid_learning;belajar
Bagaimana cara menentukan mean, median, modus?;valid_learning;belajar
Apa perbedaan antara puisi lama dan puisi baru?;valid_learning;belajar
Jelaskan konsep hukum kekekalan energi!;valid_learning;belajar
Apa yang dimaksud dengan revolusi Perancis?;valid_learning;belajar
Apa itu ikatan kovalen dan ionik?;valid_learning;belajar
Jelaskan pengertian inflasi dalam ekonomi!;valid_learning;belajar
Apa yang dimaksud dengan aliran seni realisme?;valid_learning;belajar
Bagaimana cara menghitung turunan suatu fungsi?;valid_learning;belajar
Apa itu sistem imun manusia?;valid_learning;belajar
Jelaskan proses erosi tanah!;valid_learning;belajar
Apa itu gelombang elektromagnetik?;valid_learning;belajar
Bagaimana cara kerja mesin uap?;valid_learning;belajar
Apa perbedaan antara simfoni dan sonata?;valid_learning;belajar
Jelaskan konsep relativitas Einstein!;valid_learning;belajar
Apa yang dimaksud dengan DNA dan RNA?;valid_learning;belajar
Bagaimana proses siklus air di bumi?;valid_learning;belajar
Apa itu hukum gravitasi Newton?;valid_learning;belajar
Jelaskan perbedaan antara negara kesatuan dan federal!;valid_learning;belajar
Apa fungsi ginjal dalam tubuh manusia?;valid_learning;belajar
Bagaimana cara membuat kalimat pasif?;valid_learning;belajar
Apa itu bilangan kompleks?;valid_learning;belajar
Jelaskan proses terjadinya gerhana matahari!;valid_learning;belajar
Apa yang dimaksud dengan teori evolusi Darwin?;valid_learning;belajar
Bagaimana cara menghitung luas segitiga?;valid_learning;belajar
Apa itu zat aditif makanan?;valid_learning;belajar
Jelaskan pengertian hak asasi manusia!;valid_learning;belajar
Apa perbedaan antara pantun dan syair?;valid_learning;belajar
Bagaimana cara kerja sel surya?;valid_learning;belajar
Apa itu gerak lurus beraturan?;valid_learning;belajar
Jelaskan konsep supply dan demand dalam ekonomi!;valid_learning;belajar
Apa yang dimaksud dengan reaksi redoks?;valid_learning;belajar
Bagaimana proses penyerbukan pada tumbuhan?;valid_learning;belajar
Apa itu rantai makanan dan jaring-jaring makanan?;valid_learning;belajar
Jelaskan perbedaan antara bahasa baku dan tidak baku!;valid_learning;belajar
Apa fungsi pankreas dalam pencernaan?;valid_learning;belajar
Bagaimana cara menghitung integral tentu?;valid_learning;belajar
Apa itu polimer dan berikan contohnya?;valid_learning;belajar
Jelaskan sejarah kemerdekaan Indonesia!;valid_learning;belajar
Apa yang dimaksud dengan arus bolak-balik?;valid_learning;belajar
Bagaimana cara membuat paragraf deduktif?;valid_learning;belajar
Apa itu logika matematika?;valid_learning;belajar
Jelaskan pengertian ekosistem laut!;valid_learning;belajar
Apa perbedaan antara flora dan fauna endemik?;valid_learning;belajar
Bagaimana cara kerja transformator listrik?;valid_learning;belajar
Apa itu karbon dioksida dan dampaknya?;valid_learning;belajar
Jelaskan proses pencernaan protein dalam tubuh!;valid_learning;belajar
Apa yang dimaksud dengan teori kuantum?;valid_learning;belajar
Bagaimana cara menentukan persamaan garis lurus?;valid_learning;belajar
Apa itu reproduksi vegetatif pada tumbuhan?;valid_learning;belajar
Jelaskan konsep wawasan nusantara!;valid_learning;belajar
Apa fungsi floem dan xilem pada tumbuhan?;valid_learning;belajar
Bagaimana cara menghitung probabilitas?;valid_learning;belajar
Apa itu isomer dalam kimia organik?;valid_learning;belajar
Jelaskan proses terjadinya tsunami!;valid_learning;belajar
Apa yang dimaksud dengan hak dan kewajiban warga negara?;valid_learning;belajar
Bagaimana cara membuat teks eksposisi?;valid_learning;belajar
Apa itu bilangan irasional dan berikan contohnya?;valid_learning;belajar
Jelaskan perbedaan antara virus dan bakteri!;valid_learning;belajar
Apa yang dimaksud dengan tegangan permukaan air?;valid_learning;belajar
Bagaimana cara kerja komputer secara umum?;valid_learning;belajar
Apa itu revolusi hijau dalam sejarah?;valid_learning;belajar
Jelaskan pengertian paragraf narasi!;valid_learning;belajar
Apa fungsi dari sistem limfatik?;valid_learning;belajar
Bagaimana cara menentukan rumus empiris senyawa?;valid_learning;belajar
Apa itu orogenes dan epeirogenes?;valid_learning;belajar
Jelaskan konsep pembangunan berkelanjutan!;valid_learning;belajar
Apa perbedaan antara drama tragedi dan komedi?;valid_learning;belajar
Bagaimana cara menghitung deret aritmatika?;valid_learning;belajar
Apa itu termokimia?;valid_learning;belajar
Jelaskan proses pembentukan batubara!;valid_learning;belajar
Apa yang dimaksud dengan hukum Mendel?;valid_learning;belajar
Bagaimana cara kerja listrik statis?;valid_learning;belajar
Apa itu konflik sosial dalam sosiologi?;valid_learning;belajar
Jelaskan pengertian globalisasi dan dampaknya!;valid_learning;belajar
Apa fungsi tulang rawan dalam tubuh?;valid_learning;belajar
Bagaimana cara menentukan pH larutan?;valid_learning;belajar
Apa itu meiosis dan bedanya dengan mitosis?;valid_learning;belajar
Jelaskan sistem pemerintahan presidensial!;valid_learning;belajar
Apa yang dimaksud dengan kesetimbangan kimia?;valid_learning;belajar
Bagaimana cara membuat teks deskripsi?;valid_learning;belajar
Apa itu trigonometri dan rumus dasarnya?;valid_learning;belajar
Jelaskan proses fotosintesis secara lengkap!;valid_learning;belajar
Apa perbedaan antara gerak translasi dan rotasi?;valid_learning;belajar
Bagaimana cara menghitung limas segitiga?;valid_learning;belajar
Apa itu polusi udara dan dampaknya bagi kesehatan?;valid_learning;belajar
Jelaskan konsep pertumbuhan ekonomi!;valid_learning;belajar
Apa yang dimaksud dengan konjungsi subordinatif?;valid_learning;belajar
Apa itu bioma dan sebutkan jenisnya?;valid_learning;belajar
Jelaskan pengertian sosialisasi dalam sosiologi!;valid_learning;belajar
Apa fungsi dari hormon insulin?;valid_learning;belajar
Bagaimana cara menentukan nilai determinan matriks?;valid_learning;belajar
Apa itu sifat koligatif larutan?;valid_learning;belajar
Jelaskan proses vulkanisme pada gunung berapi!;valid_learning;belajar
Apa yang dimaksud dengan seni rupa dua dimensi?;valid_learning;belajar
Bagaimana cara menghitung momentum linear?;valid_learning;belajar
Apa itu rekayasa genetika?;valid_learning;belajar
Jelaskan konsep negara hukum!;valid_learning;belajar
Apa perbedaan antara prosa dan puisi?;valid_learning;belajar
Bagaimana cara kerja pompa jantung?;valid_learning;belajar
Apa itu induksi elektromagnetik?;valid_learning;belajar
Jelaskan pengertian sosiologi sebagai ilmu?;valid_learning;belajar
Apa fungsi dari sistem endokrin?;valid_learning;belajar
Bagaimana cara menghitung persamaan kuadrat?;valid_learning;belajar
Apa itu hidrolisis garam dalam kimia?;valid_learning;belajar
Jelaskan proses angin darat dan angin laut!;valid_learning;belajar
Apa yang dimaksud dengan norma sosial?;valid_learning;belajar
Bagaimana cara membuat teks argumentasi?;valid_learning;belajar
Apa itu gerak harmonik sederhana?;valid_learning;belajar
Jelaskan proses pembentukan minyak bumi!;valid_learning;belajar
Apa perbedaan antara makroevolusi dan mikroevolusi?;valid_learning;belajar
Bagaimana cara menghitung deret geometri?;valid_learning;belajar
Apa itu sistem kekebalan tubuh adaptif?;valid_learning;belajar
Jelaskan konsep pajak dan fungsinya dalam negara!;valid_learning;belajar
Apa yang dimaksud dengan teks prosedur?;valid_learning;belajar
Bagaimana cara kerja radar?;valid_learning;belajar
Apa itu dispersi cahaya?;valid_learning;belajar
Jelaskan pengertian akulturasi budaya!;valid_learning;belajar
Apa fungsi dari jaringan epitel?;valid_learning;belajar
Bagaimana cara menentukan nilai limit fungsi?;valid_learning;belajar
Apa itu biomassa dan energi terbarukan?;valid_learning;belajar
Jelaskan proses terjadinya pelangi!;valid_learning;belajar
Apa yang dimaksud dengan reaksi eksoterm dan endoterm?;valid_learning;belajar
Jelaskan perbedaan antara unsur, senyawa, dan campuran!;valid_learning;belajar
Bagaimana cara menentukan bilangan oksidasi suatu unsur?;valid_learning;belajar
Apa itu hukum kekekalan massa Lavoisier?;valid_learning;belajar
Jelaskan pengertian gerak parabola dalam fisika!;valid_learning;belajar
Apa perbedaan antara konduksi, konveksi, dan radiasi?;valid_learning;belajar
Bagaimana cara menghitung energi kinetik suatu benda?;valid_learning;belajar
Apa itu efek Doppler dan berikan contohnya?;valid_learning;belajar
Jelaskan konsep usaha dan daya dalam fisika!;valid_learning;belajar
Apa yang dimaksud dengan tekanan osmotik larutan?;valid_learning;belajar
Bagaimana cara kerja mesin Carnot?;valid_learning;belajar
Apa itu resonansi dalam gelombang bunyi?;valid_learning;belajar
Jelaskan proses elektrolisis larutan garam!;valid_learning;belajar
Apa perbedaan antara sel volta dan sel elektrolisis?;valid_learning;belajar
Bagaimana cara menentukan orde reaksi kimia?;valid_learning;belajar
Apa itu koloid dan sebutkan jenisnya?;valid_learning;belajar
Jelaskan pengertian entalpi pembentukan standar!;valid_learning;belajar
Apa yang dimaksud dengan laju reaksi kimia?;valid_learning;belajar
Bagaimana cara kerja baterai lithium-ion?;valid_learning;belajar
Apa itu protein dan fungsinya dalam tubuh?;valid_learning;belajar
Jelaskan proses respirasi sel secara lengkap!;valid_learning;belajar
Apa perbedaan antara karbohidrat sederhana dan kompleks?;valid_learning;belajar
Bagaimana cara kerja enzim sebagai katalis biologis?;valid_learning;belajar
Apa itu transpirasi pada tumbuhan?;valid_learning;belajar
Jelaskan mekanisme gerak otot pada manusia!;valid_learning;belajar
Apa yang dimaksud dengan potensial aksi pada saraf?;valid_learning;belajar
Bagaimana proses pembentukan urin di ginjal?;valid_learning;belajar
Apa itu homeostasis dan mengapa penting bagi tubuh?;valid_learning;belajar
Jelaskan perbedaan antara hormon steroid dan peptida!;valid_learning;belajar
Apa yang dimaksud dengan suksesi ekologi?;valid_learning;belajar
Bagaimana cara menghitung pertumbuhan populasi?;valid_learning;belajar
Apa itu alel dominan dan resesif dalam genetika?;valid_learning;belajar
Jelaskan konsep Hardy-Weinberg dalam genetika populasi!;valid_learning;belajar
Apa perbedaan antara genotip dan fenotip?;valid_learning;belajar
Bagaimana cara kerja sel T dalam sistem imun?;valid_learning;belajar
Apa itu mutasi gen dan penyebabnya?;valid_learning;belajar
Jelaskan proses transkripsi dan translasi DNA!;valid_learning;belajar
Apa yang dimaksud dengan operon dalam regulasi gen?;valid_learning;belajar
Bagaimana cara menentukan nilai fungsi trigonometri sudut istimewa?;valid_learning;belajar
Apa itu turunan parsial dalam kalkulus multivariabel?;valid_learning;belajar
Jelaskan teorema Pythagoras dan pembuktiannya!;valid_learning;belajar
Apa perbedaan antara permutasi dan kombinasi?;valid_learning;belajar
Bagaimana cara menyelesaikan sistem persamaan linear tiga variabel?;valid_learning;belajar
Apa itu matriks singular dan non-singular?;valid_learning;belajar
Jelaskan konsep limit tak hingga dalam kalkulus!;valid_learning;belajar
Apa yang dimaksud dengan barisan konvergen dan divergen?;valid_learning;belajar
Bagaimana cara menghitung luas daerah dengan integral?;valid_learning;belajar
Apa itu transformasi geometri dan jenisnya?;valid_learning;belajar
Jelaskan pengertian vektor posisi dan vektor satuan!;valid_learning;belajar
Apa perbedaan antara statistika deskriptif dan inferensial?;valid_learning;belajar
Bagaimana cara menghitung simpangan baku data?;valid_learning;belajar
Apa itu distribusi normal dalam statistika?;valid_learning;belajar
Jelaskan konsep peluang bersyarat dan teorema Bayes!;valid_learning;belajar
Apa yang dimaksud dengan korelasi dan regresi linear?;valid_learning;belajar
Bagaimana cara membuat histogram dari data berkelompok?;valid_learning;belajar
Apa itu sistem bilangan biner dan konversinya ke desimal?;valid_learning;belajar
Jelaskan pengertian algoritma dan flowchart dalam pemrograman!;valid_learning;belajar
Apa perbedaan antara pemrograman prosedural dan OOP?;valid_learning;belajar
Bagaimana cara kerja database relasional?;valid_learning;belajar
Apa itu enkripsi data dan bagaimana cara kerjanya?;valid_learning;belajar
Jelaskan konsep cloud computing secara sederhana!;valid_learning;belajar
Apa yang dimaksud dengan kecerdasan buatan atau AI?;valid_learning;belajar
Bagaimana cara kerja internet dan protokol TCP/IP?;valid_learning;belajar
Apa itu struktur data linked list?;valid_learning;belajar
Jelaskan perbedaan antara compiler dan interpreter!;valid_learning;belajar
Apa yang dimaksud dengan sistem operasi komputer?;valid_learning;belajar
Bagaimana cara kerja mesin pencari seperti Google?;valid_learning;belajar
Apa itu kebijakan fiskal dan moneter dalam ekonomi?;valid_learning;belajar
Jelaskan konsep pasar monopoli dan oligopoli!;valid_learning;belajar
Apa perbedaan antara PDB dan PNB dalam ekonomi?;valid_learning;belajar
Bagaimana cara menghitung indeks harga konsumen?;valid_learning;belajar
Apa itu neraca perdagangan dan neraca pembayaran?;valid_learning;belajar
Jelaskan pengertian otonomi daerah di Indonesia!;valid_learning;belajar
Apa yang dimaksud dengan trias politika dalam pemerintahan?;valid_learning;belajar
Bagaimana sistem pemilihan umum di Indonesia bekerja?;valid_learning;belajar
Apa itu Mahkamah Konstitusi dan fungsinya?;valid_learning;belajar
Jelaskan isi dan makna Pembukaan UUD 1945!;valid_learning;belajar
Apa perbedaan antara hukum perdata dan pidana?;valid_learning;belajar
Bagaimana proses pembentukan undang-undang di Indonesia?;valid_learning;belajar
Apa itu mobilitas sosial dalam sosiologi?;valid_learning;belajar
Kasih jawaban soal nomor 3 dong;cheating_attempt;ujian
Tolong kirim jawaban essay bagian B;cheating_attempt;ujian
Jawaban pilihan ganda nomor 1 sampai 10 apa?;cheating_attempt;ujian
Temenin aku ngerjain ujian sekarang ya;cheating_attempt;ujian
Soal ujian matematika hari ini ada yang bisa bantu?;cheating_attempt;ujian
Minta contekan dong buat ulangan besok;cheating_attempt;ujian
Ada yang punya kunci jawaban LKS IPA bab 3?;cheating_attempt;ujian
Tolong kerjain PR aku semuanya ya;cheating_attempt;ujian
Bikinin tugas bahasa Indonesia aku dong, dikumpul besok;cheating_attempt;ujian
Kirim foto jawaban ujian kamu ke aku;cheating_attempt;ujian
Bisa kasih bocoran soal ujian tengah semester?;cheating_attempt;ujian
Aku lagi ujian nih, tolong bantu jawab soal fisika;cheating_attempt;ujian
Jawab aja langsung soalnya, ga usah pake penjelasan;cheating_attempt;ujian
Kerjain soal latihan ini buat aku, aku mau santai dulu;cheating_attempt;ujian
Ada kunci jawaban buku paket matematika kelas 9 ga?;cheating_attempt;ujian
Tolong tulisin esai aku tentang lingkungan hidup;cheating_attempt;ujian
Buatin laporan praktikum aku ya, aku males nulis;cheating_attempt;ujian
Soal nomor 5 jawabannya apa? Ini lagi ulangan harian;cheating_attempt;ujian
Minta jawaban tugas kelompok dong biar aku tinggal copy;cheating_attempt;ujian
Kasih tau rumus sekaligus jawaban akhirnya aja langsung;cheating_attempt;ujian
Aku lagi mid test, bisa bantu jawab soal kimia ga?;cheating_attempt;ujian
Kirim jawaban soal essay sejarah dong, deadline sejam lagi;cheating_attempt;ujian
Buatin aku rangkuman yang bisa langsung aku kumpul ke guru;cheating_attempt;ujian
Jawab soal ini buat ujian aku: sebutkan 5 penyebab perang dunia 2;cheating_attempt;ujian
Ada yang bisa ngerjain kuis online aku? Aku kasih upah;cheating_attempt;ujian
Tolong jawab semua pertanyaan di lembar ujian ini;cheating_attempt;ujian
Aku ga ngerti soalnya, langsung kasih jawabannya aja deh;cheating_attempt;ujian
Bikinin presentasi aku, tinggal kumpul besok;cheating_attempt;ujian
Soal try out hari ini bocoran jawabannya ada ga?;cheating_attempt;ujian
Kerjain soal latihan ini buat nilai aku, aku ga ada waktu;cheating_attempt;ujian
Ini soal UAS aku, tolong jawabkan semua nomornya;cheating_attempt;ujian
Copy paste aja jawabannya buat aku, males mikir;cheating_attempt;ujian
Jawaban soal fisika bab gerak lurus ada ga?;cheating_attempt;ujian
Aku lagi ulangan online, bisa bantu jawab ga cepet?;cheating_attempt;ujian
Buatin kesimpulan praktikum aku, nanti aku edit dikit;cheating_attempt;ujian
Kunci jawaban soal latihan UN matematika SMP ada ga?;cheating_attempt;ujian
Aku tinggal nulis ulang, tolong jawab soal esainya;cheating_attempt;ujian
Temen-temen udah selesai, aku minta jawaban no 8 aja;cheating_attempt;ujian
Cariin jawaban soal ini buat tugas aku yang dikumpul hari ini;cheating_attempt;ujian
Pliss bantu jawab soal no 1-5, lagi ujian sekarang;cheating_attempt;ujian
Jawab soal ini: apa penyebab kemerdekaan Indonesia? Ini soal ujianku;cheating_attempt;ujian
Tolong selesaikan soal-soal ini, aku mau tidur dulu;cheating_attempt;ujian
Ada bocoran soal ulangan kimia kelas 10 semester 2?;cheating_attempt;ujian
Kerjain PR Bahasa Inggris aku dong, banyak banget soalnya;cheating_attempt;ujian
Jawaban essay tentang dampak kolonialisme kasih dong;cheating_attempt;ujian
Aku lagi ujian praktek, kasih contekan cara kerjanya;cheating_attempt;ujian
Soal ini buat ulangan besok, tolong jawab duluan;cheating_attempt;ujian
Buatin makalah aku tentang lingkungan, tinggal print;cheating_attempt;ujian
Tolong kerjain semua soal latihan ini, ada 20 nomor;cheating_attempt;ujian
Bocoran soal fisika mid semester ada yang mau share?;cheating_attempt;ujian
Kunci jawaban soal ujian matematika mana?;cheating_attempt;ujian
Tolong ketik ulang jawaban soal essay ini buat aku;cheating_attempt;ujian
Jawaban nomor 5 sampai 10 soal IPA dong;cheating_attempt;ujian
Kirim contekan buat ujian besok ya;cheating_attempt;ujian
Cariin jawaban soal biologi bab 3 ini;cheating_attempt;ujian
Bantu jawab soal tryout ini semua;cheating_attempt;ujian
Aku lagi ulangan, jawabkan soal ini cepat;cheating_attempt;ujian
Soal ini muncul di ujian, langsung kasih jawabannya;cheating_attempt;ujian
Jawaban pilihan ganda soal sejarah nomor 1-20;cheating_attempt;ujian
Tolong selesaikan soal ujian ini buat aku submit;cheating_attempt;ujian
Tulis ulang jawaban esai yang benar untuk soal ini;cheating_attempt;ujian
Kasih semua jawaban soal fisika ujian semester;cheating_attempt;ujian
Bantu aku ngerjain soal ujian online sekarang;cheating_attempt;ujian
Ini soal quiz sekolah, jawab semua ya biar aku copy;cheating_attempt;ujian
Cariin bocoran jawaban UAS tahun ini dong;cheating_attempt;ujian
Jawab soal ini buat aku kumpulin ke guru besok;cheating_attempt;ujian
Berikan semua kunci jawaban soal kimia ini;cheating_attempt;ujian
Aku lagi tes online, bantuannya nomor 3 sampai 7;cheating_attempt;ujian
Selesaiin soal tugas ini, aku tinggal copy paste aja;cheating_attempt;ujian
Kerjain PR matematika ini semua ya, besok dikumpul;cheating_attempt;ujian
Soal mid semester ini tolong diisiin jawabannya;cheating_attempt;ujian
Aku butuh jawaban cepat, ini soal ulangan harian;cheating_attempt;ujian
Buatkan jawaban lengkap soal essay biologi ini;cheating_attempt;ujian
Jawaban tes IQ sekolah nomor berapa paling benar?;cheating_attempt;ujian
Tuliskan jawaban yang bisa aku contek dari soal ini;cheating_attempt;ujian
Bantu aku curang di ujian online ya, kasih jawabannya;cheating_attempt;ujian
Ini soal ujian praktek, langsung kasih jawabannya;cheating_attempt;ujian
Aku mau nyontek, cariin jawabannya soal fisika ini;cheating_attempt;ujian
Nomor berapa yang benar di soal pilihan ganda ini?;cheating_attempt;ujian
Jawaban PR bahasa Indonesia soal ini semua dong;cheating_attempt;ujian
Isi lembar jawaban ini sebelum aku ujian besok;cheating_attempt;ujian
Tolong jawab soal evaluasi ini semua buat nilai bagus;cheating_attempt;ujian
Kirim jawaban ke aku buat ujian hari ini;cheating_attempt;ujian
Soal ulangan seni budaya ini tolong dijawab semua;cheating_attempt;ujian
Aku lagi ujian, butuh bantuan jawab soal ini sekarang;cheating_attempt;ujian
Tuliskan contekan buat soal geografi ujian semester;cheating_attempt;ujian
Kunci jawaban soal UNBK tahun ini ada nggak?;cheating_attempt;ujian
Kasih jawaban buat soal simulasi ujian nasional ini;cheating_attempt;ujian
Bantu ngerjain soal ini, aku mau langsung dikumpulin;cheating_attempt;ujian
Selesaikan soal ujian ini dan tulis jawabannya buat aku;cheating_attempt;ujian
Cariin contekan soal ekonomi ulangan besok;cheating_attempt;ujian
Jawab soal latihan ini biar aku tinggal salin;cheating_attempt;ujian
Tolong isi soal ulangan komputer ini semua;cheating_attempt;ujian
Aku butuh jawaban soal PAI untuk ulangan harian besok;cheating_attempt;ujian
Jawaban soal IPS kelas 8 bab 2 ini semua dong;cheating_attempt;ujian
Selesaikan tugas evaluasi ini buat aku kumpulin;cheating_attempt;ujian
Buatin jawaban contekan untuk tes masuk sekolah ini;cheating_attempt;ujian
Nomor yang jawabannya C di soal ini mana saja?;cheating_attempt;ujian
Kerjain soal ini semua, besok pagi aku kumpul;cheating_attempt;ujian
Tuliskan jawaban esai buat PR bahasa Indonesia ini;cheating_attempt;ujian
Jawab soal ulangan kimia ini biar aku dapat nilai 100;cheating_attempt;ujian
Kasih contekan soal matematika kelas 10 ini;cheating_attempt;ujian
